<<<<<<< HEAD
ID,clasificacion
PV5,1
PV4,1
PV3,0
PV2,0
PV8,0
PV18,1
PV19,1
PV27,1
PV28,1
PV25,1
PV24,0
PV29,0
PV32,1
PV33,0
PV4,1
PV9,1
PV14,0
PV8,1
PV4,0
PV34,0
PV35,1
PV36,1
PV31,0
PV21,1
PV20,0
PV23,1
PV11,1
PV7,0
PV3,1
PV1,1
PV1,0
PV11,0
PV7,0
PV3,1
PV4,0
PV8,0
PV18,0
PV25,0
PV28,1
PV27,1
PV29,1
PV24,0
PV32,1
PV34,1
PV32,0
PV33,1
PV34,1
PV35,1
PV36,0
PV18,0
PV25,0
PV28,1
PV27,0
PV29,1
PV24,0
PV24,0
PV32,1
PV33,0
PV34,0
PV35,1
PV36,1
PV21,1
PV20,0
PV23,0
PV11,0
PV7,0
PV3,0
PV8,1
PV12,1
PV13,1
PV18,0
PV27,1
PV25,0
PV28,0
PV29,1
PV24,0
PV32,0
PV33,0
PV34,1
=======
ID,clasificacion
PV5,1
PV4,1
PV3,0
PV2,0
PV8,0
PV18,1
PV19,1
PV27,1
PV28,1
PV25,1
PV24,0
PV29,0
PV32,1
PV33,0
PV4,1
PV9,1
PV14,0
PV8,1
PV4,0
PV34,0
PV35,1
PV36,1
PV31,0
PV21,1
PV20,0
PV23,1
PV11,1
PV7,0
PV3,1
PV1,1
PV1,0
PV11,0
PV7,0
PV3,1
PV4,0
PV8,0
PV18,0
PV25,0
PV28,1
PV27,1
PV29,1
PV24,0
PV32,1
PV34,1
PV32,0
PV33,1
PV34,1
PV35,1
PV36,0
PV18,0
PV25,0
PV28,1
PV27,0
PV29,1
PV24,0
PV24,0
PV32,1
PV33,0
PV34,0
PV35,1
PV36,1
PV21,1
PV20,0
PV23,0
PV11,0
PV7,0
PV3,0
PV8,1
PV12,1
PV13,1
PV18,0
PV27,1
PV25,0
PV28,0
PV29,1
PV24,0
PV32,0
PV33,0
PV34,1
>>>>>>> c2e4db51f1503b4fc8aba5a9b60ac07ef633dd75
PV35,0
